nim,nama,kelas,mata_kuliah,nilai_uts
231001010,Joko Santoso,A,Machine Learning,60
231001004,Dedi Pratama,A,,55
231001015,Oki Pradana,A,Big Data Analytics,72
231001007,Gita Permata,A,Machine Learning,81
231001002,Budi Rahman,A,Data Mining,65
231001013,Maya Kartika,A,Big Data Analytics,90
231001001,Andi Saputra,A,Data Mining,
231001008,Hariyanto,A,Machine Learning,84
231001011,Karina Salsabila,A,Big Data Analytics,95
231001009,Indah Putri,A,Machine Learning,68
231001014,Nanda Putra,A,,92
231001005,Evi Susanti,A,Data Mining,
231001006,Fajar Ramadhan,A,Machine Learning,77
231001012,Lukman Hakim,A,Big Data Analytics,88
231001003,Cici Lestari,A,Data Mining,53
